"Step","Name: architecture-4 - accuracy","Name: architecture-4 - accuracy__MIN","Name: architecture-4 - accuracy__MAX","Name: architecture-1 - accuracy","Name: architecture-1 - accuracy__MIN","Name: architecture-1 - accuracy__MAX","Name: architecture-2 - accuracy","Name: architecture-2 - accuracy__MIN","Name: architecture-2 - accuracy__MAX","Name: architecture-baseline - accuracy","Name: architecture-baseline - accuracy__MIN","Name: architecture-baseline - accuracy__MAX","Name: architecture-5 - accuracy","Name: architecture-5 - accuracy__MIN","Name: architecture-5 - accuracy__MAX","Name: architecture-7 - accuracy","Name: architecture-7 - accuracy__MIN","Name: architecture-7 - accuracy__MAX","Name: architecture-6 - accuracy","Name: architecture-6 - accuracy__MIN","Name: architecture-6 - accuracy__MAX"
"0","0.8537242147657607","0.8471271991729736","0.8578303456306458","0.8716299692789714","0.8680475950241089","0.8744242191314697","0.8819444924592972","0.8779985904693604","0.886305570602417","0.8439998825391134","0.8374690413475037","0.8480857014656067","0.8549706014719877","0.8510876297950745","0.8593878746032715","0.7334980116440699","0.722050666809082","0.7610559463500977","0.8707500174641609","0.8694121241569519","0.8716286420822144"
"1","0.9265925354427762","0.9229878187179565","0.9289184808731079","0.9285972356796265","0.9273476600646973","0.9298237562179565","0.9327716045081615","0.9318938255310059","0.9340237975120544","0.9125609000523885","0.908863365650177","0.9140552282333374","0.9094763614914634","0.9083575010299683","0.9108003377914429","0.8546814551720252","0.8487579822540283","0.8624630570411682","0.9147274941205978","0.9134628176689148","0.9152400493621826"
"2","0.9504749543137021","0.9479219317436218","0.9530006051063538","0.9448028445243836","0.9439015984535217","0.946530818939209","0.9465366154909134","0.945093035697937","0.948228120803833","0.9228757818539938","0.9210375547409058","0.9236001968383789","0.9201075001196428","0.9189475178718567","0.9215434193611145","0.8745174316259531","0.8692590594291687","0.8793697953224182","0.924936443567276","0.9240328669548035","0.925770103931427"
"3","0.9639019734329648","0.9611477851867676","0.9656873345375061","0.9569672624270121","0.9562554955482483","0.9586051106452942","0.9574868865311146","0.9557962417602539","0.9587382674217224","0.9283050199349722","0.9259498119354248","0.9297904372215271","0.9263691793788563","0.9254972338676453","0.9273742437362671","0.8844656210679275","0.881805956363678","0.8882025480270386","0.9313122406601906","0.9303562641143799","0.9320335984230042"
"4","0.9731019503540463","0.9704731106758118","0.9747464060783386","0.9660103599230448","0.9647887349128723","0.9675909876823425","0.9655051045119762","0.9643627405166626","0.9673646688461304","0.93243075410525","0.9306957125663757","0.9335911273956299","0.930788283998316","0.9301033020019531","0.9320535659790039","0.8906750839490157","0.888235867023468","0.8935608267784119","0.9359108358621597","0.9348225593566895","0.9367062449455261"
"5","0.9795651137828827","0.9782276153564453","0.9809832572937012","0.9723963181177775","0.9710455536842346","0.9736747741699219","0.9715672321617603","0.9705995917320251","0.9726563692092896","0.9350821375846863","0.9330852627754211","0.9360539317131042","0.9339687444946982","0.933171808719635","0.9351220726966858","0.8952957575137799","0.8939068913459778","0.897581160068512","0.9399286806583405","0.9383702874183655","0.9407199621200562"
"6","0.9836416674984826","0.9826539754867554","0.9846374988555908","0.9777137279510498","0.9764770269393921","0.9794057607650757","0.9760372824966908","0.9749993085861206","0.9774155616760254","0.9376714130242666","0.9346029162406921","0.9387363791465759","0.937136482108723","0.9362203478813171","0.9379909038543701","0.8988066430275257","0.897175133228302","0.9004698991775513","0.9430271461606026","0.9412790536880493","0.9440813064575195"
"7","0.986104451947742","0.9854229092597961","0.9872533679008484","0.9816142598787944","0.9803109765052795","0.9827937483787537","0.9797015227377415","0.9788133502006531","0.9807436466217041","0.9397126336892446","0.9376181364059448","0.941139280796051","0.9392241076989607","0.937924325466156","0.9402273893356323","0.901512643465629","0.9003368020057678","0.903292179107666","0.9459009617567062","0.9442943334579468","0.9468502998352051"
"8","0.9881087077988518","0.9874264597892761","0.9886378645896912","0.9846397201220195","0.9832663536071777","0.9859288334846497","0.9826290011405945","0.9814691543579102","0.9838321208953857","0.9416695435841879","0.939135730266571","0.9434556365013123","0.9412167343226346","0.9406999945640564","0.9416118860244751","0.9036945952818944","0.9024667739868164","0.9050294160842896","0.9483321234583855","0.9461048245429993","0.94927978515625"
"9","0.9897143344084421","0.9889307618141174","0.9903884530067444","0.987009326616923","0.9861085414886475","0.9883782863616943","0.9848517552018166","0.983985185623169","0.9860352873802185","0.9429497520128886","0.9405468702316284","0.9445405602455139","0.9434223554351113","0.9427101612091064","0.944527268409729","0.9054372425262744","0.9036383032798767","0.9068066477775574","0.9504845663905144","0.9481282830238342","0.9513698220252991"
"10","0.9908403423097398","0.9901621341705322","0.9914600849151611","0.9886165777842204","0.9877792000770569","0.9895564317703247","0.9867421053349972","0.9860286712646484","0.9876927137374878","0.9443231622378031","0.9422109127044678","0.945405900478363","0.9450325424020941","0.9440081119537354","0.9458252191543579","0.9071268920715039","0.9063340425491333","0.9085838198661804","0.9524772763252258","0.9501983523368835","0.9534798860549927"
"11","0.9917600055535635","0.9914068579673767","0.9922189116477966","0.9898595134417216","0.9890838265419006","0.9904084205627441","0.9880683533847332","0.9872467517852783","0.9889107942581177","0.945406993230184","0.9433690905570984","0.9463111162185669","0.9465828212824735","0.9456854462623596","0.9474093914031982","0.9083178387238429","0.9073191285133362","0.9094424843788147","0.9543093964457512","0.9520155191421509","0.9552304148674011"
"12","0.9924596481853061","0.9918195605278015","0.9931973814964294","0.9908166686693828","0.9899691343307495","0.9915798902511597","0.989451177418232","0.9888442158699036","0.9902886152267456","0.9467781881491343","0.9453526735305786","0.9477289319038391","0.9478656595403497","0.9472496509552002","0.9486541152000427","0.9096575264747326","0.9084440469741821","0.9110599160194397","0.9560458287596703","0.9533334374427795","0.9571274518966675"
"13","0.9930916130542755","0.9924851655960083","0.993709921836853","0.9916562438011169","0.9908943176269531","0.992192268371582","0.990077693015337","0.9894099831581116","0.9907545447349548","0.94754030307134","0.9453792572021484","0.948793888092041","0.9491509090770375","0.9482081532478333","0.9497390985488892","0.9107714157838088","0.9088367819786072","0.9123312830924988","0.9574519321322441","0.9548976421356201","0.9589712023735046"
"14","0.9936422341399722","0.9929977059364319","0.9942091107368469","0.9923653562863668","0.991699755191803","0.992831289768219","0.9910773672163486","0.9901288747787476","0.9916797280311584","0.94867076476415","0.9468969106674194","0.9506176710128784","0.9505124092102051","0.9496325850486755","0.9514297246932983","0.9117700961919931","0.9108469486236572","0.9129170179367065","0.9587315917015076","0.9556497931480408","0.9604156017303467"
