,run_id,optimization_type,accuracy,num_parameters,compressed_disk_size
0,qn4g71cq,baseline,0.8142749667167664,111961,420216
0,qn4g71cq,fp16,0.8176814317703247,0,83227
0,nvu2m1bv,baseline,0.8146783709526062,111961,420053
0,nvu2m1bv,fp16,0.8164353966712952,0,82069
0,ootgcls8,baseline,0.8153865337371826,111961,420030
0,ootgcls8,fp16,0.8181027770042419,0,81626
0,2puuhf3p,baseline,0.8280801773071289,111961,420079
0,2puuhf3p,fp16,0.8264127969741821,0,83182
0,jlk71mxj,baseline,0.8262962698936462,111961,420113
0,jlk71mxj,fp16,0.8264396786689758,0,83338
0,q4vxmseo,baseline,0.8277843594551086,111961,420473
0,q4vxmseo,fp16,0.8279367685317993,0,82429
0,qn4g71cq,baseline,0.8142749667167664,111961,420216
0,qn4g71cq,fp16,0.817654550075531,0,83239
0,nvu2m1bv,baseline,0.8146783709526062,111961,420053
0,nvu2m1bv,fp16,0.8165429830551147,0,82088
0,ootgcls8,baseline,0.8153865337371826,111961,420030
0,ootgcls8,fp16,0.817529022693634,0,81656
0,2puuhf3p,baseline,0.8280801773071289,111961,420079
0,2puuhf3p,fp16,0.8268251419067383,0,83175
0,jlk71mxj,baseline,0.8262962698936462,111961,420113
0,jlk71mxj,fp16,0.8265831470489502,0,83294
0,q4vxmseo,baseline,0.8277843594551086,111961,420473
0,q4vxmseo,fp16,0.8279008865356445,0,82417
