"Step","Name: architecture-4 - accuracy","Name: architecture-4 - accuracy__MIN","Name: architecture-4 - accuracy__MAX","Name: architecture-1 - accuracy","Name: architecture-1 - accuracy__MIN","Name: architecture-1 - accuracy__MAX","Name: architecture-2 - accuracy","Name: architecture-2 - accuracy__MIN","Name: architecture-2 - accuracy__MAX","Name: architecture-5 - accuracy","Name: architecture-5 - accuracy__MIN","Name: architecture-5 - accuracy__MAX","Name: architecture-baseline - accuracy","Name: architecture-baseline - accuracy__MIN","Name: architecture-baseline - accuracy__MAX","Name: architecture-7 - accuracy","Name: architecture-7 - accuracy__MIN","Name: architecture-7 - accuracy__MAX","Name: architecture-6 - accuracy","Name: architecture-6 - accuracy__MIN","Name: architecture-6 - accuracy__MAX"
"0","0.8939171496190523","0.8904257416725159","0.8971549868583679","0.9079780993254288","0.904198169708252","0.9119374752044678","0.9167484879493714","0.9137027859687805","0.920695960521698","0.8969291286035017","0.8945706486701965","0.8990249633789062","0.8828411102294922","0.8827865123748779","0.8828957080841064","0.7929913997650146","0.7800097465515137","0.8100115060806274","0.9071151874959469","0.9025738835334778","0.909676194190979"
"1","0.9526117757747048","0.9502108693122864","0.9545605778694153","0.9547910120176233","0.9529862999916077","0.9563986659049988","0.959055358171463","0.9578819274902344","0.9600522518157959","0.9417340809648688","0.9409610033035278","0.9423987865447998","0.9417504370212555","0.941388726234436","0.942112147808075","0.8955675184726715","0.890393853187561","0.9009358882904053","0.9450556114315987","0.9436363577842712","0.9460204839706421"
"2","0.968660084824813","0.9671863913536072","0.9703485369682312","0.9669047179429427","0.9651298522949219","0.9683921337127686","0.9695869088172913","0.9685695767402649","0.9704941511154175","0.950286171653054","0.9494920372962952","0.9512982964515686","0.9505430161952972","0.950438380241394","0.9506476521492004","0.9108709812164306","0.9076469540596008","0.9145945906639099","0.9533724673092365","0.9519762396812439","0.9542921185493469"
"3","0.9776067859248111","0.9758902788162231","0.9784200191497803","0.9741152550863184","0.972573459148407","0.9753033518791199","0.9759726405143738","0.9748983979225159","0.9769640564918518","0.9552616422826593","0.9543102979660034","0.9558253884315491","0.9551202058792114","0.9548745155334473","0.9553658962249756","0.9184519588947296","0.9162780046463013","0.9206731915473938","0.9586528651416302","0.9571221470832825","0.9596245288848877"
"4","0.9831054085179379","0.9821509122848511","0.9840390682220459","0.9786809475525565","0.9772188663482666","0.9798486828804016","0.9801844477653503","0.9792071580886841","0.9809815883636475","0.9585706374861978","0.9577227234840393","0.9591786861419678","0.9583869874477386","0.9582414031028748","0.9585325717926025","0.9234313249588013","0.9209416508674622","0.9259055256843567","0.9622321724891663","0.9605845808982849","0.9630869626998901"
"5","0.9868702982601366","0.985945463180542","0.9875652194023132","0.9821973857672318","0.9805266261100769","0.9834294319152832","0.9829057276248931","0.98175048828125","0.9834021329879761","0.9610110142014243","0.9604480862617493","0.961863100528717","0.96040940284729","0.9601250290870667","0.9606937766075134","0.9271849513053894","0.9257599115371704","0.9283578991889954","0.9651591591536999","0.9634236693382263","0.9657213687896729"
"6","0.9892769330426266","0.9887072443962097","0.9898037910461426","0.984761137029399","0.983625054359436","0.9858818054199219","0.9852707326412201","0.9842847585678101","0.9858908653259277","0.9630878984928131","0.9625136852264404","0.9637603759765625","0.9621224105358124","0.9620450735092163","0.9621997475624084","0.9297069370746612","0.9282259345054626","0.9312698245048523","0.9675077386200428","0.9657440781593323","0.9680372476577759"
"7","0.9908181428909302","0.9897946715354919","0.9915145039558411","0.986883749132571","0.9858089685440063","0.9880202412605286","0.987026983499527","0.9862639904022217","0.9880657196044922","0.9648050189018249","0.9644837975502014","0.9653300642967224","0.9637854099273682","0.9635829329490662","0.9639878869056702","0.9320810556411743","0.9306191802024841","0.933003306388855","0.969592639378139","0.967882513999939","0.9701893329620361"
"8","0.992118449587571","0.9913325309753418","0.992733895778656","0.9886063544646554","0.9871830344200134","0.9895398616790771","0.9884688317775726","0.9875197410583496","0.9890348315238953","0.9663196742534638","0.9658214449882507","0.9671363830566406","0.9649069309234619","0.9647840857505798","0.965029776096344","0.9335897862911224","0.9324391484260559","0.9349005818367004","0.9712786844798497","0.9694613218307495","0.972077488899231"
"9","0.9929735880149039","0.9923653602600098","0.9933571815490723","0.9900112748146057","0.9888801574707031","0.9913415908813477","0.9897000253200531","0.9891167283058167","0.9901768565177917","0.9674193680286407","0.9667678475379944","0.9680781960487366","0.9654369652271271","0.9652936458587646","0.9655802845954895","0.9349470138549805","0.9334628582000732","0.9360426068305969","0.9728197881153652","0.9706397652626038","0.9735880494117737"
"10","0.9938018823924818","0.9933071732521057","0.9942762851715088","0.9911501252132914","0.9899994134902954","0.9923334717750549","0.9907706141471863","0.9901450276374817","0.9913097620010376","0.9686610341072083","0.9681054949760437","0.9692975282669067","0.96642205119133","0.966185450553894","0.9666586518287659","0.9362132370471954","0.935228168964386","0.9375986456871033","0.9742559109415326","0.9723914265632629","0.9750758409500122"
"11","0.9943837962652508","0.9937757849693298","0.9948495626449585","0.9920421009478362","0.9910959005355835","0.9931615591049194","0.9916059613227844","0.99085932970047","0.9920923709869385","0.9693976461887359","0.9690609574317932","0.9697343111038208","0.9671386480331421","0.9669862389564514","0.9672910571098328","0.9371270073784722","0.9360517263412476","0.9379672408103943","0.975484379700252","0.9735743999481201","0.9761632680892944"
"12","0.9947849104278966","0.9942581057548523","0.9951907992362976","0.9927121167597563","0.9912460446357727","0.9935573935508728","0.9922734379768372","0.9918147921562195","0.9928385019302368","0.9703763067722321","0.9699254035949707","0.9711857438087463","0.9676482379436493","0.9672865271568298","0.9680099487304688","0.9380572040875753","0.9367796778678894","0.9386906623840332","0.9765272693974631","0.9746436476707458","0.9771869778633118"
