"Step","Name: architecture-1 - accuracy","Name: architecture-1 - accuracy__MIN","Name: architecture-1 - accuracy__MAX","Name: architecture-4 - accuracy","Name: architecture-4 - accuracy__MIN","Name: architecture-4 - accuracy__MAX","Name: architecture-2 - accuracy","Name: architecture-2 - accuracy__MIN","Name: architecture-2 - accuracy__MAX","Name: architecture-5 - accuracy","Name: architecture-5 - accuracy__MIN","Name: architecture-5 - accuracy__MAX","Name: architecture-baseline - accuracy","Name: architecture-baseline - accuracy__MIN","Name: architecture-baseline - accuracy__MAX","Name: architecture-6 - accuracy","Name: architecture-6 - accuracy__MIN","Name: architecture-6 - accuracy__MAX","Name: architecture-7 - accuracy","Name: architecture-7 - accuracy__MIN","Name: architecture-7 - accuracy__MAX"
"0","0.7445032331678603","0.7390297055244446","0.748009204864502","0.7158561229705811","0.7105426788330078","0.7193019986152649","0.7588198781013489","0.7566712498664856","0.7609997391700745","0.72515692975786","0.7225298285484314","0.7269043326377869","0.71446160475413","0.7108139991760254","0.7166911363601685","0.7414584159851074","0.7400817275047302","0.7438521981239319","0.6298203468322754","0.6248742341995239","0.6351515054702759"
"1","0.8087454636891683","0.8060967326164246","0.8107861280441284","0.7997230410575866","0.7977443933486938","0.8026513457298279","0.8144070625305175","0.8134021162986755","0.8151222467422485","0.781718028916253","0.7805789709091187","0.7830567359924316","0.7814637621243795","0.7794961929321289","0.783059298992157","0.7910228100689974","0.7897709012031555","0.7929193377494812","0.7198007958275932","0.7179248929023743","0.7222994565963745"
"2","0.8327652149730258","0.8291674256324768","0.8358559012413025","0.8387706696987152","0.835346519947052","0.8434096574783325","0.8328533887863159","0.831814169883728","0.8338414430618286","0.7952298919359843","0.794450044631958","0.7960191369056702","0.7930737535158793","0.7907947897911072","0.7952588796615601","0.8034995360807939","0.8022673726081848","0.804755449295044","0.7360864111355373","0.7349085807800293","0.7382336258888245"
"3","0.8522628347078959","0.8475435972213745","0.8569146990776062","0.8706928372383118","0.8665187358856201","0.8779708743095398","0.8474918723106384","0.8462483882904053","0.8485930562019348","0.802851570977105","0.8021265864372253","0.8036649823188782","0.7998476028442383","0.797557532787323","0.8021752238273621","0.8108771009878679","0.8099772334098816","0.8120275735855103","0.7445305330412728","0.7434068322181702","0.7461047768592834"
"4","0.8695576654540168","0.8629709482192993","0.8753906488418579","0.8966772377490997","0.8906106948852539","0.9042795896530151","0.8601112365722656","0.8573907613754272","0.8623284697532654","0.8083805441856384","0.8077477216720581","0.8090071082115173","0.8039295077323914","0.8018373847007751","0.8062477707862854","0.8160688931291754","0.8150173425674438","0.8173056840896606","0.7497991408620562","0.7484161853790283","0.7508043646812439"
"5","0.8866167134708829","0.8784623146057129","0.8934980630874634","0.9178399085998535","0.9105457663536072","0.9240686893463135","0.8712890028953553","0.8682721257209778","0.8741671442985535","0.8122343354754977","0.8116769194602966","0.8135941028594971","0.8069610595703125","0.8047835826873779","0.8095293045043945","0.8201281265778975","0.8189643621444702","0.821196436882019","0.7535878845623561","0.752591073513031","0.754700243473053"
"6","0.9031845927238464","0.893495500087738","0.9124630093574524","0.9339084982872009","0.926567018032074","0.9405097365379333","0.8815488457679749","0.8779401779174805","0.8842805624008179","0.8155591156747606","0.8148841857910156","0.8159746527671814","0.809305747350057","0.8073868155479431","0.8113645911216736","0.8233906030654907","0.8221307396888733","0.824478030204773","0.7568511707442147","0.7563436031341553","0.7574724555015564"
"7","0.9185488224029541","0.9082266688346863","0.92801833152771","0.9455731093883515","0.9390609264373779","0.9514755606651306","0.8918071269989014","0.8879358172416687","0.8949033617973328","0.8183298707008362","0.8175053596496582","0.8190949559211731","0.8112809856732687","0.8101231455802917","0.8130258321762085","0.8261366974223744","0.8246546387672424","0.8273269534111023","0.758346404348101","0.7572727799415588","0.7595202326774597"
"8","0.9312751624319289","0.9199629426002502","0.9410728812217712","0.9541527569293976","0.9480481147766113","0.9596896767616272","0.9010722517967225","0.8956277370452881","0.9048657417297363","0.8208915723694695","0.820379912853241","0.8222536444664001","0.812885065873464","0.8109627366065979","0.8153961300849915","0.8286312655969099","0.8272424936294556","0.8295564651489258","0.7604691301073346","0.7595329880714417","0.761560320854187"
"9","0.9418166213565402","0.9314355850219727","0.9502750635147095","0.9600219130516052","0.9541990756988525","0.9651239514350891","0.9098244309425354","0.9049860835075378","0.9139015674591064","0.8226594792471992","0.82217937707901","0.8234720230102539","0.8138065735499064","0.8120531439781189","0.8160207271575928","0.8306901942599904","0.8292390704154968","0.831588864326477","0.7614648512431553","0.760858952999115","0.7620031237602234"
