"Step","Name: architecture-4 - accuracy","Name: architecture-4 - accuracy__MIN","Name: architecture-4 - accuracy__MAX","Name: architecture-1 - accuracy","Name: architecture-1 - accuracy__MIN","Name: architecture-1 - accuracy__MAX","Name: architecture-2 - accuracy","Name: architecture-2 - accuracy__MIN","Name: architecture-2 - accuracy__MAX","Name: architecture-5 - accuracy","Name: architecture-5 - accuracy__MIN","Name: architecture-5 - accuracy__MAX","Name: architecture-baseline - accuracy","Name: architecture-baseline - accuracy__MIN","Name: architecture-baseline - accuracy__MAX","Name: architecture-7 - accuracy","Name: architecture-7 - accuracy__MIN","Name: architecture-7 - accuracy__MAX","Name: architecture-6 - accuracy","Name: architecture-6 - accuracy__MIN","Name: architecture-6 - accuracy__MAX"
"0","0.8443113217751185","0.8407794237136841","0.8492369055747986","0.8676553443074226","0.8644077181816101","0.8701580762863159","0.8780034929513931","0.8763535618782043","0.8801871538162231","0.8474999268849691","0.8447719812393188","0.8505223393440247","0.8358708818753561","0.8312000632286072","0.8441360592842102","0.7424079117022062","0.7135219573974609","0.7619730830192566","0.8598193774620692","0.8579169511795044","0.8613598942756653"
"1","0.9192416866620382","0.9165742993354797","0.9223291873931885","0.9243592619895935","0.9234828948974609","0.9254269599914551","0.9284974584976832","0.9275254607200623","0.9295012950897217","0.9023388276497523","0.9015079736709595","0.9038926362991333","0.9037317534287771","0.900585949420929","0.907385528087616","0.8462787835221541","0.8382721543312073","0.8515488505363464","0.9064827909072241","0.9050872325897217","0.9077807068824768"
"2","0.9463829298814138","0.9439634680747986","0.948432981967926","0.943205788731575","0.9420784711837769","0.9451262950897217","0.9438668597828258","0.9426871538162231","0.9451762437820435","0.9134924461444219","0.9125635623931885","0.914534866809845","0.914406955242157","0.9122047424316406","0.9177052974700928","0.8639736771583557","0.8579169511795044","0.8678007125854492","0.9174490422010422","0.9160201549530029","0.9182594418525696"
"3","0.9621124019225439","0.9606468081474304","0.9643077850341797","0.9563632756471634","0.9551599025726318","0.9587527513504028","0.9555988257581537","0.9545194506645203","0.9567496180534363","0.9201944023370743","0.9193722605705261","0.9206668138504028","0.9201546609401703","0.9179869294166565","0.9230014681816101","0.8728417257467905","0.8690497875213623","0.875663161277771","0.9237868587176005","0.9221929311752319","0.9245957732200623"
"4","0.9719737867514292","0.9707712531089783","0.9734965562820435","0.9652942754328251","0.9634220600128174","0.9667786955833435","0.9638502651994879","0.9629814624786377","0.9651344418525696","0.9246805359919866","0.923982560634613","0.9256041049957275","0.9240260869264603","0.9218659400939941","0.9271938800811768","0.8786047101020813","0.8759447932243347","0.8807231187820435","0.9281636079152426","0.9267532825469971","0.9289925694465637"
"5","0.9783203154802322","0.9770621657371521","0.9794649481773376","0.9718233272433281","0.9703760743141174","0.9731059074401855","0.9697955250740051","0.9687727093696594","0.9707530736923218","0.9279963026444117","0.9265443086624146","0.9290788769721985","0.9272377640008926","0.9247320294380188","0.9306141138076782","0.8827834791607327","0.8797692656517029","0.8848564624786377","0.9316216905911764","0.9303461313247681","0.9326398968696594"
"6","0.9820664475361506","0.9805732369422913","0.9836664199829102","0.9768174290657043","0.9756767749786377","0.9781976938247681","0.9744417288086631","0.9737054705619812","0.9751635193824768","0.9306084215641022","0.9291288256645203","0.9320493936538696","0.9295046826203665","0.9266851544380188","0.9327034950256348","0.8856992820898691","0.8838753700256348","0.8870366811752319","0.9343053549528122","0.9326035380363464","0.935269832611084"
"7","0.9849840352932612","0.9841751456260681","0.985855758190155","0.9806282930076122","0.9795557856559753","0.9818540811538696","0.977923496202989","0.9773755669593811","0.9786837100982666","0.9330411305030187","0.9320857524871826","0.9336709380149841","0.9314036766688029","0.9292741417884827","0.9345294237136841","0.8883531163720524","0.8869276642799377","0.8894440531730652","0.936689222852389","0.935001790523529","0.9378225207328796"
"8","0.9869628896315893","0.9859374761581421","0.9878451824188232","0.9833660796284676","0.9820266962051392","0.9845975637435913","0.9807528311556036","0.9799282550811768","0.9814634919166565","0.9353390783071518","0.9339889287948608","0.936246395111084","0.9327383041381836","0.9304324388504028","0.9362009167671204","0.8904307589811438","0.8889307975769043","0.8917696475982666","0.9387294054031372","0.9370003342628479","0.9399800300598145"
"9","0.9886056433121363","0.9880950450897217","0.9892987012863159","0.9855590835213661","0.9847429394721985","0.9863235950469971","0.9829297715967352","0.9821311831474304","0.983593761920929","0.9369689524173737","0.9359148144721985","0.9377952218055725","0.9343651682138443","0.9321675300598145","0.9375999569892883","0.891959053628585","0.8901026248931885","0.893204927444458","0.9405273546775182","0.938826322555542","0.9414970874786377"
